UniProt,Ensembl,Disease_ID,Disease_Name,Datasource_Scores,Score,Gene_Name
O14733,ENSG00000076984,EFO_0000778,anthrax infection,reactome:0.607930797611621; europepmc:0.03812232710022874,0.3707386415207444,MAP2K7
O14733,ENSG00000076984,MONDO_0004975,Alzheimer disease,crispr_screen:0.5912012350590018; europepmc:0.2795983131734507,0.3679082596553144,MAP2K7
O14733,ENSG00000076984,MONDO_0005180,Parkinson disease,crispr_screen:0.5912012350590018; europepmc:0.2025345690898721,0.365565788484931,MAP2K7
O14733,ENSG00000076984,MONDO_0005301,multiple sclerosis,crispr_screen:0.5912012350590018; europepmc:0.021277577916406734,0.3600562031240927,MAP2K7
O14733,ENSG00000076984,MONDO_0002561,lysosomal storage disease,crispr_screen:0.5912012350590018,0.3594094383783944,MAP2K7
O14733,ENSG00000076984,MONDO_0005148,type 2 diabetes mellitus,gwas_credible_sets:0.4818653699968952; europepmc:0.20272701395301312,0.2991029984881253,MAP2K7
O14733,ENSG00000076984,EFO_0004529,lipid measurement,gwas_credible_sets:0.4724368624890858,0.2872089186341217,MAP2K7
O14733,ENSG00000076984,EFO_0004530,triglyceride measurement,gwas_credible_sets:0.4503905431591633,0.2738062821394814,MAP2K7
O14757,ENSG00000149554,EFO_0005772,neurodegenerative disease,crispr_screen:0.889105087668904; europepmc:0.012158615952232422,0.5408839449617917,CHEK1
O14757,ENSG00000149554,EFO_0000519,glioblastoma multiforme,slapenrich:0.9236964999479564; europepmc:0.6731985440934708; expression_atlas:0.16505804693899961,0.3034645451559169,CHEK1
O14757,ENSG00000149554,EFO_0000181,head and neck squamous cell carcinoma,slapenrich:0.8885106835952488; europepmc:0.7341057728480568,0.2923907796831939,CHEK1
O14757,ENSG00000149554,EFO_0000571,lung adenocarcinoma,slapenrich:0.9242096876705651; europepmc:0.281539557231589; expression_atlas:0.07218058611338342,0.2904607235898387,CHEK1
O14757,ENSG00000149554,MONDO_0011962,endometrial cancer,slapenrich:0.9066612367713315; europepmc:0.1939017252039526,0.2814875859400426,CHEK1
O14757,ENSG00000149554,EFO_0004192,alopecia areata,gwas_credible_sets:0.447292596142949,0.2719229447389557,CHEK1
O14757,ENSG00000149554,Orphanet_399764,Male infertility due to gonadal dysgenesis or sperm disorder,eva:0.4377101742803672,0.2660974953729852,CHEK1
O14757,ENSG00000149554,EFO_0000708,squamous cell lung carcinoma,slapenrich:0.7599134970145264; chembl:0.06079307976116211; europepmc:0.03782680518472309,0.2407379295416572,CHEK1
O14757,ENSG00000149554,EFO_0000503,gastric adenocarcinoma,slapenrich:0.7560218653809305; europepmc:0.03343619386863916,0.2308208324168102,CHEK1
O14757,ENSG00000149554,EFO_0000702,small cell lung carcinoma,slapenrich:0.6202857607030485; chembl:0.1587374860430344; europepmc:0.7293424466772488,0.2225238654807082,CHEK1
O14920,ENSG00000104365,MONDO_0014267,severe combined immunodeficiency due to IKK2 deficiency,eva:0.9216702489050524; genomics_england:0.865457038266544; uniprot_literature:0.7599134970145264; uniprot_variants:0.607930797611621; clingen:0.607930797611621; orphanet:0.607930797611621; impc:0.5833944300034334,0.792772409879637,IKBKB
O14920,ENSG00000104365,MONDO_0100096,COVID-19,reactome:0.7599134970145264; chembl:0.12158615952232422; europepmc:0.07622587175801425,0.4814835900904788,IKBKB
O14920,ENSG00000104365,MONDO_0015131,combined immunodeficiency,genomics_england:0.7599134970145264; europepmc:0.10486806258800464,0.4651624446025327,IKBKB
O14920,ENSG00000104365,HP_0005387,Combined immunodeficiency,genomics_england:0.7599134970145264; europepmc:0.07734230702947845,0.4643257568759549,IKBKB
O14920,ENSG00000104365,MONDO_0015974,severe combined immunodeficiency,reactome:0.607930797611621; eva:0.547137717850459; europepmc:0.03174749720860688,0.4531642171287641,IKBKB
O14920,ENSG00000104365,EFO_0001378,multiple myeloma,intogen:0.607930797611621; cancer_gene_census:0.4559480982087158; europepmc:0.19942331161160112,0.441570201280092,IKBKB
O14920,ENSG00000104365,MONDO_0007915,systemic lupus erythematosus,gwas_credible_sets:0.6843201885104953,0.4160193180229202,IKBKB
O14920,ENSG00000104365,EFO_0003865,kidney neoplasm,cancer_gene_census:0.607930797611621; europepmc:0.06079307976116211,0.3714277539581253,IKBKB
O14920,ENSG00000104365,EFO_0000365,colorectal adenocarcinoma,cancer_gene_census:0.607930797611621; europepmc:0.030396539880581056,0.3705038043214135,IKBKB
O14920,ENSG00000104365,MONDO_0005341,skin basal cell carcinoma,cancer_gene_census:0.607930797611621; europepmc:0.030396539880581056,0.3705038043214135,IKBKB
O14936,ENSG00000147044,MONDO_0010417,syndromic X-linked intellectual disability Najm type,genomics_england:0.9580964074361958; eva:0.9403536562486804; uniprot_variants:0.8274613634158176; uniprot_literature:0.607930797611621; gene2phenotype:0.607930797611621; europepmc:0.2841151678085203,0.8201085536348908,CASK
O14936,ENSG00000147044,Orphanet_163937,"X-linked intellectual disability, Najm type",eva:0.9403536562486804; genomics_england:0.865457038266544; uniprot_variants:0.8274613634158176; uniprot_literature:0.607930797611621; gene2phenotype:0.607930797611621; orphanet:0.607930797611621; europepmc:0.2899229211178324,0.8079651372779136,CASK
O14936,ENSG00000147044,MONDO_0010318,FG syndrome 4,genomics_england:0.9619856869313327; eva:0.916074959374889; uniprot_literature:0.607930797611621; uniprot_variants:0.607930797611621; gene2phenotype:0.607930797611621; europepmc:0.09352836112629645,0.8033105165939175,CASK
O14936,ENSG00000147044,EFO_0010954,cask-related x-linked intellectual disability,eva:0.9045367294039456,0.5498957353755477,CASK
O14936,ENSG00000147044,EFO_0000508,genetic disorder,eva:0.8588194755245085,0.5221028087600086,CASK
O14936,ENSG00000147044,HP_0001249,Intellectual disability,eva:0.7744472992822914; europepmc:0.21407953620760914,0.4773176415208001,CASK
O14936,ENSG00000147044,EFO_0005548,developmental disorder of mental health,eva:0.7620243678395667,0.4632580817401991,CASK
O14936,ENSG00000147044,MONDO_0020135,pontocerebellar hypoplasia,genomics_england:0.7599134970145264; europepmc:0.03951550184475537,0.4631759528836025,CASK
O14936,ENSG00000147044,MONDO_0020119,X-linked syndromic intellectual disability,clingen:0.607930797611621; eva:0.5592963338026914; europepmc:0.030396539880581056,0.4549938655451662,CASK
O14936,ENSG00000147044,EFO_0010642,Neurodevelopmental disorder,eva:0.7207357345017775; europepmc:0.10585952732541325,0.4413752132869495,CASK
O14965,ENSG00000087586,OBA_0003460,erythrocyte volume,gwas_credible_sets:0.8711555585361698,0.5296022935446909,AURKA
O14965,ENSG00000087586,EFO_0005772,neurodegenerative disease,crispr_screen:0.8556881489748329; europepmc:0.02279740491043579,0.5208921411406157,AURKA
O14965,ENSG00000087586,MONDO_0004975,Alzheimer disease,crispr_screen:0.819999004813659; europepmc:0.5522038078305558,0.5152877341040334,AURKA
O14965,ENSG00000087586,MONDO_0005301,multiple sclerosis,crispr_screen:0.819999004813659,0.4985026490371032,AURKA
O14965,ENSG00000087586,MONDO_0005180,Parkinson disease,crispr_screen:0.819999004813659,0.4985026490371032,AURKA
O14965,ENSG00000087586,MONDO_0002561,lysosomal storage disease,crispr_screen:0.819999004813659,0.4985026490371032,AURKA
O14965,ENSG00000087586,EFO_0004527,mean corpuscular hemoglobin,gwas_credible_sets:0.7126123350028013,0.4332189852061327,AURKA
O14965,ENSG00000087586,EFO_0004528,mean corpuscular hemoglobin concentration,gwas_credible_sets:0.7074217725709641,0.4300634824468929,AURKA
O14965,ENSG00000087586,EFO_0004338,body weight,gwas_credible_sets:0.6737583603483693,0.4095984574040822,AURKA
O14965,ENSG00000087586,EFO_0010701,mean reticulocyte volume,gwas_credible_sets:0.5698757833768227,0.3464450395278192,AURKA
O14976,ENSG00000178950,MONDO_0005180,Parkinson disease,gwas_credible_sets:0.7109000725056857; crispr_screen:0.5438973612435869; europepmc:0.7536297015311753,0.5250222529394727,GAK
O14976,ENSG00000178950,EFO_0004530,triglyceride measurement,gwas_credible_sets:0.6859111943242425,0.4169865394562764,GAK
O14976,ENSG00000178950,OBA_1000110,bone tissue density,gwas_credible_sets:0.6079988167777208,0.3696212056306017,GAK
O14976,ENSG00000178950,OBA_0003460,erythrocyte volume,gwas_credible_sets:0.5665943934086752,0.3444501815072086,GAK
O14976,ENSG00000178950,MONDO_0004975,Alzheimer disease,crispr_screen:0.5438973612435869; europepmc:0.07143186871936548,0.3328232382859424,GAK
O14976,ENSG00000178950,EFO_0005772,neurodegenerative disease,crispr_screen:0.5438973612435869; europepmc:0.04363254430191407,0.3319782350126341,GAK
O14976,ENSG00000178950,MONDO_0005301,multiple sclerosis,crispr_screen:0.5438973612435869,0.3306519566396698,GAK
O14976,ENSG00000178950,MONDO_0002561,lysosomal storage disease,crispr_screen:0.5438973612435869,0.3306519566396698,GAK
O14976,ENSG00000178950,EFO_0009188,Red cell distribution width,gwas_credible_sets:0.5205540736531759,0.3164608531959537,GAK
O14976,ENSG00000178950,MONDO_0005148,type 2 diabetes mellitus,gwas_credible_sets:0.4928721644869085; europepmc:0.03647584785669727,0.3007409076411464,GAK
O15021,ENSG00000069020,EFO_0004309,platelet count,gwas_credible_sets:0.9289556892720159,0.5647407731249898,MAST4
O15021,ENSG00000069020,OBA_0003277,platelet volume,gwas_credible_sets:0.9206728241479887,0.5597053643236305,MAST4
O15021,ENSG00000069020,EFO_0004346,neuroimaging measurement,gwas_credible_sets:0.8239569960329283,0.5009088337959734,MAST4
O15021,ENSG00000069020,EFO_0005035,hippocampal volume,gwas_credible_sets:0.7898463868568665,0.4801719439525518,MAST4
O15021,ENSG00000069020,EFO_0010642,Neurodevelopmental disorder,genomics_england:0.7599134970145264; europepmc:0.15806200737902149,0.4667793564667783,MAST4
O15021,ENSG00000069020,EFO_0004340,body mass index,gwas_credible_sets:0.7432401335618971,0.4518385672132519,MAST4
O15021,ENSG00000069020,EFO_0009188,Red cell distribution width,gwas_credible_sets:0.7407372151714772,0.4503169660398071,MAST4
O15021,ENSG00000069020,OBA_2050009,brain volume,gwas_credible_sets:0.7099710053376936,0.4316132395560685,MAST4
O15021,ENSG00000069020,EFO_0004338,body weight,gwas_credible_sets:0.7074784601125091,0.4300979445492391,MAST4
O15021,ENSG00000069020,EFO_0004784,self reported educational attainment,gwas_credible_sets:0.6890024370397931,0.4188658011059522,MAST4
O15075,ENSG00000133083,EFO_0006939,cup-to-disc ratio measurement,gwas_credible_sets:0.8062050745496306,0.4901168940094934,DCLK1
O15075,ENSG00000133083,OBA_2045265,optic cup area,gwas_credible_sets:0.7370795616360944,0.4480933658086549,DCLK1
O15075,ENSG00000133083,OBA_2045267,cerebral cortex area attribute,gwas_credible_sets:0.6824257471895767,0.4148676287996658,DCLK1
O15075,ENSG00000133083,EFO_0004875,mathematical ability,gwas_credible_sets:0.6749375938975998,0.4103153497962362,DCLK1
O15075,ENSG00000133083,EFO_0004747,protein measurement,gwas_credible_sets:0.6600882967503329,0.4012880047375263,DCLK1
O15075,ENSG00000133083,OBA_1000110,bone tissue density,gwas_credible_sets:0.577769356820636,0.3512437859275225,DCLK1
O15075,ENSG00000133083,EFO_0005772,neurodegenerative disease,crispr_screen:0.5646713204367951,0.3432810862215481,DCLK1
O15075,ENSG00000133083,OBA_0003277,platelet volume,gwas_credible_sets:0.5642063160745513,0.3429983957487164,DCLK1
O15075,ENSG00000133083,MONDO_0000476,generalized dystonia,gwas_credible_sets:0.5641445784523846,0.3429608635468299,DCLK1
O15075,ENSG00000133083,EFO_0009812,secondary malignant neoplasm,gwas_credible_sets:0.5606769336889262,0.3408527754999469,DCLK1
O15111,ENSG00000213341,MONDO_0013334,cocoon syndrome,genomics_england:0.8274613634158176; gene2phenotype:0.607930797611621; orphanet:0.607930797611621; uniprot_literature:0.607930797611621; eva:0.5957721816593886; europepmc:0.04464576229793344,0.6742356961444415,CHUK
O15111,ENSG00000213341,MONDO_0100096,COVID-19,reactome:0.7599134970145264; europepmc:0.056255551835655365,0.4636847924807538,CHUK
O15111,ENSG00000213341,EFO_0004735,serum alanine aminotransferase measurement,gwas_credible_sets:0.6723043742560059,0.4087145344792354,CHUK
O15111,ENSG00000213341,EFO_0004532,serum gamma-glutamyl transferase measurement,gwas_credible_sets:0.6638363060872053,0.403566535043147,CHUK
O15111,ENSG00000213341,MONDO_0009901,Bartsocas-Papas syndrome 1,eva:0.547137717850459; uniprot_literature:0.3039653988058105; clingen:0.3039653988058105; impc:0.3685732443219855; europepmc:0.094499361705815,0.4026119956096413,CHUK
O15111,ENSG00000213341,EFO_0009188,Red cell distribution width,gwas_credible_sets:0.6431251566600193,0.3909755894524243,CHUK
O15111,ENSG00000213341,EFO_0005772,neurodegenerative disease,crispr_screen:0.607930797611621; europepmc:0.03554706469367951,0.3706603624543008,CHUK
O15111,ENSG00000213341,EFO_0020092,neuroinflammatory disorder,crispr_screen:0.607930797611621,0.3695798546847018,CHUK
O15111,ENSG00000213341,EFO_0004305,erythrocyte count,gwas_credible_sets:0.5912535776736837,0.3594412590658871,CHUK
O15111,ENSG00000213341,EFO_0004574,total cholesterol measurement,gwas_credible_sets:0.54018983452827,0.3283980369664607,CHUK
O15146,ENSG00000030304,Orphanet_590,Congenital myasthenic syndromes,eva:0.9363406435723008; uniprot_variants:0.9066612367713315; genomics_england:0.865457038266544; uniprot_literature:0.607930797611621; impc:0.463453761971118; europepmc:0.12440143136477455,0.7912597888909182,MUSK
O15146,ENSG00000030304,MONDO_0008824,fetal akinesia deformation sequence,eva:0.9376887282552199; genomics_england:0.7599134970145264; orphanet:0.607930797611621; europepmc:0.08015060957511212,0.7272170646669925,MUSK
O15146,ENSG00000030304,MONDO_0100101,fetal akinesia deformation sequence 1,eva:0.9376887282552199; uniprot_literature:0.607930797611621; genomics_england:0.607930797611621; uniprot_variants:0.607930797611621,0.726607989366892,MUSK
O15146,ENSG00000030304,MONDO_0014587,congenital myasthenic syndrome 9,eva:0.9361866651641679; europepmc:0.12158615952232422,0.5728325046134632,MUSK
O15146,ENSG00000030304,EFO_0005091,monocyte count,gwas_credible_sets:0.8617542591191748,0.5238869540915315,MUSK
O15146,ENSG00000030304,EFO_0004312,vital capacity,gwas_credible_sets:0.6875840525503644,0.4180035214919738,MUSK
O15146,ENSG00000030304,OBA_0003747,glomerular filtration rate,gwas_credible_sets:0.6782117577470754,0.4123058148367591,MUSK
O15146,ENSG00000030304,EFO_0004725,metabolite measurement,gwas_credible_sets:0.6756926796558506,0.4107743896835148,MUSK
O15146,ENSG00000030304,Orphanet_98913,Postsynaptic congenital myasthenic syndromes,orphanet:0.607930797611621; impc:0.3705794159541039,0.3808441866806731,MUSK
O15146,ENSG00000030304,EFO_0009270,heel bone mineral density,gwas_credible_sets:0.5860238012233486,0.3562619168971044,MUSK
O15264,ENSG00000156711,OBA_0003460,erythrocyte volume,gwas_credible_sets:0.7478913842767233,0.4546662057702078,MAPK13
O15264,ENSG00000156711,EFO_0001060,celiac disease,gwas_credible_sets:0.5931981543176055,0.3606234270960434,MAPK13
O15264,ENSG00000156711,EFO_0020577,mitogen-activated protein kinase 13 measurement,gwas_credible_sets:0.591123144128114,0.3593619644964935,MAPK13
O15264,ENSG00000156711,OBA_0003277,platelet volume,gwas_credible_sets:0.5854450922156674,0.3559101018684797,MAPK13
O15264,ENSG00000156711,EFO_0004842,eosinophil count,gwas_credible_sets:0.573349948200985,0.3485570913204064,MAPK13
O15264,ENSG00000156711,EFO_0004305,erythrocyte count,gwas_credible_sets:0.5494159608764866,0.3340068833161977,MAPK13
O15264,ENSG00000156711,EFO_0007984,platelet component distribution width,gwas_credible_sets:0.5337511421031269,0.3244837575448676,MAPK13
O15264,ENSG00000156711,OBA_1000278,social inhibition quality,gwas_credible_sets:0.5092491835422047,0.3095882623338793,MAPK13
O15264,ENSG00000156711,EFO_0003888,attention deficit hyperactivity disorder,gwas_credible_sets:0.5092491835422047,0.3095882623338793,MAPK13
O15264,ENSG00000156711,MONDO_0002491,substance abuse,gwas_credible_sets:0.5092491835422047,0.3095882623338793,MAPK13
